Longitude,Latitude,Site,Population,N.Samples
-74.3829133,42.6900752,Howes Cave,NYPRE,14
-73.8326232,42.6220235,Delmar,NYPOST,5
-74.1776996,41.8628812,Ulster Post,NYPOST,5
-73.3917765,44.3609347,Willsboro Church,NYPOST,5
-77.4928916,40.7361844,Aitkin Cave,PAPRE,2
-76.8844101,40.9645293,Lewisburg,PAPRE,2
-77.0564464,40.750748,Snyder County,PAPRE,5
-76.866499,41.117835,Reeve's Barn,PAPRE,4
-77.3873912,40.8882501,Woodward Cave,PAPRE,2
-77.4538252,40.8864214,Woodward Cave,PAPOST,3
-75.4712909,40.596482,Allentown bridge,PAPOST,3
-75.79142,40.3887489,Oley,PAPOST,3
-77.3913148,40.5657283,Juniata High School,PAPOST,3
-78.3547351,40.4439613,Frankstown,PAPOST,3
